ResultID,WOID,MachineID,MachineName,ChecklistID,TaskNo,TaskDescription,TaskType,AcceptanceStandard,Mandatory,SafetyCritical,Result,MeasuredValue,Observation,TechID,RecordedDate,AbnormalityRaised
WO-00064-T06,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,58.61,,TECH-02,2025-06-05,No
WO-00064-T07,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,31.72,,TECH-02,2025-06-05,No
WO-00064-T08,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,17.34,,TECH-02,2025-06-05,No
WO-00064-T09,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,6.48,,TECH-02,2025-06-05,No
WO-00064-T10,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,12.05,,TECH-02,2025-06-05,No
WO-00064-T11,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-02,2025-06-05,No
WO-00064-T12,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2025-06-05,No
WO-00064-T13,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,14.04,,TECH-02,2025-06-05,No
WO-00064-T14,WO-00064,MC-006,CNC Lathe TL-04,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2025-06-05,No
WO-00065-T01,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2025-06-14,No
WO-00065-T02,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-01,2025-06-14,No
WO-00065-T03,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,3.74,,TECH-01,2025-06-14,No
WO-00065-T04,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-01,2025-06-14,No
WO-00065-T05,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-01,2025-06-14,No
WO-00065-T06,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,17.88,,TECH-01,2025-06-14,No
WO-00065-T07,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,56.67,,TECH-01,2025-06-14,No
WO-00065-T08,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,38.45,,TECH-01,2025-06-14,No
WO-00065-T09,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,45.29,,TECH-01,2025-06-14,No
WO-00065-T10,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,6.6,,TECH-01,2025-06-14,No
WO-00065-T11,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-01,2025-06-14,No
WO-00065-T12,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-01,2025-06-14,No
WO-00065-T13,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,1.23,,TECH-01,2025-06-14,No
WO-00065-T14,WO-00065,MC-007,CNC Lathe TL-05,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2025-06-14,No
WO-00066-T01,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-06-18,No
WO-00066-T02,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2025-06-18,No
WO-00066-T03,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,56.49,,TECH-03,2025-06-18,No
WO-00066-T04,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,OK,,,TECH-03,2025-06-18,No
WO-00066-T05,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,OK,,,TECH-03,2025-06-18,No
WO-00066-T06,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,28.92,,TECH-03,2025-06-18,No
WO-00066-T07,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,OK,49.42,,TECH-03,2025-06-18,No
WO-00066-T08,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,OK,24.34,,TECH-03,2025-06-18,No
WO-00066-T09,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,OK,4.91,,TECH-03,2025-06-18,No
WO-00066-T10,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,10,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2025-06-18,No
WO-00066-T11,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,11,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-06-18,No
WO-00066-T12,WO-00066,MC-008,VMC MC-01,CL-CNC-MILL,12,Check chiller for spindle - temp and level,Measurement,20 +/- 2 deg C,Yes,No,OK,37.95,,TECH-03,2025-06-18,No
WO-00067-T01,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2025-06-26,No
WO-00067-T02,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2025-06-26,No
WO-00067-T03,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,15.27,,TECH-02,2025-06-26,No
WO-00067-T04,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,OK,,,TECH-02,2025-06-26,No
WO-00067-T05,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,OK,,,TECH-02,2025-06-26,No
WO-00067-T06,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,33.71,,TECH-02,2025-06-26,No
WO-00067-T07,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,OK,25.26,,TECH-02,2025-06-26,No
WO-00067-T08,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,OK,35.97,,TECH-02,2025-06-26,No
WO-00067-T09,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,OK,37.3,,TECH-02,2025-06-26,No
WO-00067-T10,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,10,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2025-06-26,No
WO-00067-T11,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,11,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2025-06-26,No
WO-00067-T12,WO-00067,MC-009,VMC MC-02,CL-CNC-MILL,12,Check chiller for spindle - temp and level,Measurement,20 +/- 2 deg C,Yes,No,OK,46.65,,TECH-02,2025-06-26,No
WO-00068-T01,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-10-05,No
WO-00068-T02,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2025-10-05,No
WO-00068-T03,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,4.08,,TECH-03,2025-10-05,No
WO-00068-T04,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-03,2025-10-05,No
WO-00068-T05,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,Not OK,,Deviation observed - abnormality raised,TECH-03,2025-10-05,Yes
WO-00068-T06,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,57.63,,TECH-03,2025-10-05,No
WO-00068-T07,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,6.4,,TECH-03,2025-10-05,No
WO-00068-T08,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,45.88,,TECH-03,2025-10-05,No
WO-00068-T09,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,37.72,,TECH-03,2025-10-05,No
WO-00068-T10,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,Not OK,16.25,Deviation observed - abnormality raised,TECH-03,2025-10-05,Yes
WO-00068-T11,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-03,2025-10-05,No
WO-00068-T12,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2025-10-05,No
WO-00068-T13,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,Not OK,5.33,Deviation observed - abnormality raised,TECH-03,2025-10-05,Yes
WO-00068-T14,WO-00068,MC-006,CNC Lathe TL-04,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-10-05,No
WO-00069-T01,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2025-09-10,No
WO-00069-T02,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2025-09-10,No
WO-00069-T03,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,35.83,,TECH-02,2025-09-10,No
WO-00069-T04,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-02,2025-09-10,No
WO-00069-T05,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-02,2025-09-10,No
WO-00069-T06,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,17.83,,TECH-02,2025-09-10,No
WO-00069-T07,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,14.27,,TECH-02,2025-09-10,No
WO-00069-T08,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,42.56,,TECH-02,2025-09-10,No
WO-00069-T09,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,42.33,,TECH-02,2025-09-10,No
WO-00069-T10,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,27.51,,TECH-02,2025-09-10,No
WO-00069-T11,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-02,2025-09-10,No
WO-00069-T12,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2025-09-10,No
WO-00069-T13,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,41.4,,TECH-02,2025-09-10,No
WO-00069-T14,WO-00069,MC-007,CNC Lathe TL-05,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2025-09-10,No
WO-00070-T01,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2025-09-20,No
WO-00070-T02,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,Not OK,,Deviation observed - abnormality raised,TECH-01,2025-09-20,Yes
WO-00070-T03,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,32.9,,TECH-01,2025-09-20,No
WO-00070-T04,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,OK,,,TECH-01,2025-09-20,No
WO-00070-T05,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,OK,,,TECH-01,2025-09-20,No
WO-00070-T06,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,39.03,,TECH-01,2025-09-20,No
WO-00070-T07,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,Not OK,54.55,Deviation observed - abnormality raised,TECH-01,2025-09-20,Yes
WO-00070-T08,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,OK,49.68,,TECH-01,2025-09-20,No
WO-00070-T09,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,OK,4.75,,TECH-01,2025-09-20,No
WO-00070-T10,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,10,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-01,2025-09-20,No
WO-00070-T11,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,11,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2025-09-20,No
WO-00070-T12,WO-00070,MC-008,VMC MC-01,CL-CNC-MILL,12,Check chiller for spindle - temp and level,Measurement,20 +/- 2 deg C,Yes,No,OK,10.37,,TECH-01,2025-09-20,No
WO-00071-T01,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-09-26,No
WO-00071-T02,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2025-09-26,No
WO-00071-T03,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,28.39,,TECH-03,2025-09-26,No
WO-00071-T04,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,OK,,,TECH-03,2025-09-26,No
WO-00071-T05,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,OK,,,TECH-03,2025-09-26,No
WO-00071-T06,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,18.59,,TECH-03,2025-09-26,No
WO-00071-T07,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,OK,24.45,,TECH-03,2025-09-26,No
WO-00071-T08,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,OK,16.7,,TECH-03,2025-09-26,No
WO-00071-T09,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,OK,32.63,,TECH-03,2025-09-26,No
WO-00071-T10,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,10,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2025-09-26,No
WO-00071-T11,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,11,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-09-26,No
WO-00071-T12,WO-00071,MC-009,VMC MC-02,CL-CNC-MILL,12,Check chiller for spindle - temp and level,Measurement,20 +/- 2 deg C,Yes,No,OK,26.55,,TECH-03,2025-09-26,No
WO-00072-T01,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2026-03-06,No
WO-00072-T02,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-01,2026-03-06,No
WO-00072-T03,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,14.12,,TECH-01,2026-03-06,No
WO-00072-T04,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-01,2026-03-06,No
WO-00072-T05,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-01,2026-03-06,No
WO-00072-T06,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,40.62,,TECH-01,2026-03-06,No
WO-00072-T07,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,51.7,,TECH-01,2026-03-06,No
WO-00072-T08,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,35.43,,TECH-01,2026-03-06,No
WO-00072-T09,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,1.73,,TECH-01,2026-03-06,No
WO-00072-T10,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,46.0,,TECH-01,2026-03-06,No
WO-00072-T11,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-01,2026-03-06,No
WO-00072-T12,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-01,2026-03-06,No
WO-00072-T13,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,49.37,,TECH-01,2026-03-06,No
WO-00072-T14,WO-00072,MC-006,CNC Lathe TL-04,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2026-03-06,No
WO-00073-T01,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2026-02-11,No
WO-00073-T02,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2026-02-11,No
WO-00073-T03,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,55.01,,TECH-03,2026-02-11,No
WO-00073-T04,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-03,2026-02-11,No
WO-00073-T05,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-03,2026-02-11,No
WO-00073-T06,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,11.3,,TECH-03,2026-02-11,No
WO-00073-T07,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,35.33,,TECH-03,2026-02-11,No
WO-00073-T08,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,38.27,,TECH-03,2026-02-11,No
WO-00073-T09,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,29.76,,TECH-03,2026-02-11,No
WO-00073-T10,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,5.93,,TECH-03,2026-02-11,No
WO-00073-T11,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-03,2026-02-11,No
WO-00073-T12,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2026-02-11,No
WO-00073-T13,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,21.2,,TECH-03,2026-02-11,No
WO-00073-T14,WO-00073,MC-007,CNC Lathe TL-05,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2026-02-11,No
WO-00074-T01,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2026-02-17,No
WO-00074-T02,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2026-02-17,No
WO-00074-T03,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,17.65,,TECH-02,2026-02-17,No
WO-00074-T04,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,OK,,,TECH-02,2026-02-17,No
WO-00074-T05,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,OK,,,TECH-02,2026-02-17,No
WO-00074-T06,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,56.74,,TECH-02,2026-02-17,No
WO-00074-T07,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,OK,48.91,,TECH-02,2026-02-17,No
WO-00074-T08,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,OK,33.23,,TECH-02,2026-02-17,No
WO-00074-T09,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,OK,27.56,,TECH-02,2026-02-17,No
WO-00074-T10,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,10,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2026-02-17,No
WO-00074-T11,WO-00074,MC-008,VMC MC-01,CL-CNC-MILL,11,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2026-02-17,No
