RequestID,SourceType,SourceID,MachineID,MachineName,CellID,PartNo,PartName,Category,UOM,QtyRequested,UnitCostINR,TotalCostINR,RequestedByTechID,RequestedByName,RequestDate,Urgency,Status,ApprovedDate,ApprovedBy,IssuedDate,LeadTimeDays,StoreBin,RejectionReason
REQ-00104,Breakdown,BD-00169,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1062,Wire feed roller set,Mechanical,Set,2,3400,6800,TECH-08,Karthik V,2026-02-12,Emergency,Issued,2026-02-12,Maintenance Head,2026-02-14,18,D-01-05,
REQ-00105,Breakdown,BD-00170,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1061,Welding nozzle 16 mm,Consumable,No,2,480,960,TECH-09,Sathish Kumar,2026-05-27,Urgent,Issued,2026-05-30,Maintenance Head,2026-06-04,10,D-01-03,
REQ-00106,Breakdown,BD-00173,MC-029,Positioner PZ-01,CELL-07,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-09,Sathish Kumar,2025-09-17,Urgent,Approved,2025-09-18,Maintenance Head,,7,E-04-01,
REQ-00107,Breakdown,BD-00175,MC-030,Weld Compressor AC-02,CELL-07,SP-1081,Compressor air/oil separator,Filter,No,1,9600,9600,TECH-09,Sathish Kumar,2024-10-14,Emergency,Issued,2024-10-14,Maintenance Head,2024-10-18,28,E-01-03,
REQ-00108,Breakdown,BD-00176,MC-030,Weld Compressor AC-02,CELL-07,SP-1080,V-belt SPB 2500,Belt,No,1,1400,1400,TECH-08,Karthik V,2025-01-21,Emergency,Issued,2025-01-21,Maintenance Head,2025-01-24,10,E-01-01,
REQ-00109,Breakdown,BD-00178,MC-030,Weld Compressor AC-02,CELL-07,SP-1081,Compressor air/oil separator,Filter,No,2,9600,19200,TECH-08,Karthik V,2025-08-01,Urgent,Pending Approval,,,,28,E-01-03,
REQ-00110,Breakdown,BD-00179,MC-030,Weld Compressor AC-02,CELL-07,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-08,Karthik V,2026-07-17,Urgent,Approved,2026-07-20,Maintenance Head,,7,E-04-01,
REQ-00111,Breakdown,BD-00181,MC-031,Hyd Press HP-01,CELL-08,SP-1071,Ram gib liner,Mechanical,No,1,21000,21000,TECH-04,Vignesh S,2024-12-23,Emergency,Issued,2024-12-23,Maintenance Head,2024-12-25,48,D-02-03,
REQ-00112,Breakdown,BD-00184,MC-031,Hyd Press HP-01,CELL-08,SP-1070,Hydraulic return filter element,Filter,No,1,3900,3900,TECH-09,Sathish Kumar,2025-06-18,Urgent,Issued,2025-06-19,Maintenance Head,2025-06-19,16,D-02-01,
REQ-00113,Breakdown,BD-00186,MC-031,Hyd Press HP-01,CELL-08,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-04,Vignesh S,2026-01-05,Emergency,Issued,2026-01-07,Maintenance Head,2026-01-08,7,E-04-01,
REQ-00114,Breakdown,BD-00189,MC-031,Hyd Press HP-01,CELL-08,SP-1073,Brake friction disc,Mechanical,No,1,27500,27500,TECH-09,Sathish Kumar,2026-08-04,Emergency,Issued,2026-08-06,Maintenance Head,2026-08-10,52,D-02-07,
REQ-00115,Breakdown,BD-00190,MC-032,Hyd Press HP-02,CELL-08,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-09,Sathish Kumar,2024-11-26,Emergency,Issued,2024-11-27,Maintenance Head,2024-11-27,7,E-04-01,
REQ-00116,Breakdown,BD-00191,MC-032,Hyd Press HP-02,CELL-08,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-08,Karthik V,2025-01-29,Urgent,Purchase Raised,2025-02-01,Maintenance Head,,7,E-04-01,
REQ-00117,Breakdown,BD-00195,MC-032,Hyd Press HP-02,CELL-08,SP-1071,Ram gib liner,Mechanical,No,2,21000,42000,TECH-08,Karthik V,2026-08-12,Urgent,Issued,2026-08-14,Maintenance Head,2026-08-18,48,D-02-03,
